X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1001.0,1001.0,train,3.3423837587676677E-4,76.52634467601897,0.890985769468875
1002.0,1002.0,train,4.9316958428630005E-5,11.98096291337977,0.27892506849887777
1003.0,1003.0,train,4.415783498398797E-4,98.69677198233605,0.9464976471936354
1004.0,1004.0,train,3.4603670673560556E-4,79.94155014291569,0.8991891752637107
1005.0,1005.0,train,8.819702194576236E-5,22.751981846692562,0.4427934016458773
1006.0,1006.0,train,1.4267225993819734E-4,37.61247648643031,0.6117225332788301
1007.0,1007.0,train,1.232157364424806E-4,32.75876513786755,0.5582548880500962
1008.0,1008.0,train,1.9639536216617152E-4,47.27921653195016,0.7280844317551818
1009.0,1009.0,train,2.0963703866281493E-4,49.65614140802333,0.7509413673847019
1010.0,1010.0,train,3.1935465117465895E-4,72.25340707900611,0.8796781984863018
1011.0,1011.0,train,2.9037661517758E-4,67.64314612053113,0.8541879918642442
1012.0,1012.0,train,3.054512427824124E-4,69.50815382123157,0.8680581983661106
1013.0,1013.0,train,9.738169241136042E-5,25.54920642995485,0.4757156851135117
1014.0,1014.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
1015.0,1015.0,train,3.622885567774313E-4,85.60537950562947,0.9094879915518883
1016.0,1016.0,train,3.483085965678838E-4,80.33919725264656,0.9006964590361268
1017.0,1017.0,train,3.1110658873826887E-4,71.05587136821941,0.8729143449992465
1018.0,1018.0,train,1.906282231555786E-4,46.321066246787865,0.7174847565190186
1019.0,1019.0,train,8.234998041064893E-5,21.220121699446686,0.4207658472306428
1020.0,1020.0,train,2.8828133267257497E-4,67.33111404512123,0.8521480208613011
1021.0,1021.0,train,3.136729718629841E-4,71.82617901644447,0.8750586952019335
1022.0,1022.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1023.0,1023.0,train,3.466645879528913E-4,80.01426672229935,0.8996080157026258
1024.0,1024.0,train,5.3724432733507816E-5,12.892556963110701,0.2996936659324553
1025.0,1025.0,train,2.6836542363727463E-4,63.09187997708889,0.831274930952739
1026.0,1026.0,train,2.3346039497215395E-4,55.06810210839351,0.7873346535687429
1027.0,1027.0,train,3.9662200147821096E-4,92.17726364656359,0.9279166275695858
1028.0,1028.0,train,2.5057964562986735E-4,60.00844747082453,0.8101555605577339
1029.0,1029.0,train,3.9662200147821096E-4,92.17726364656359,0.9279166275695858
1030.0,1030.0,train,3.109018879827904E-4,70.88331403615746,0.8727417300321488
1031.0,1031.0,train,3.111269867583128E-4,71.6158656485911,0.8729315329014319
1032.0,1032.0,train,8.079108377812007E-5,20.655091457215693,0.41474738259650323
1033.0,1033.0,train,7.969230979175198E-5,20.252613705668967,0.41046778949373197
1034.0,1034.0,train,6.779248707493088E-6,1.783753329191,0.043956653493850695
1035.0,1035.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1036.0,1036.0,train,3.3142430314730433E-4,76.25900243054141,0.8889325073416826
1037.0,1037.0,train,1.1263613662480869E-4,29.842452832561033,0.5261529728147092
1038.0,1038.0,train,3.892403219671226E-4,89.14307084679032,0.9243006147605621
1039.0,1039.0,train,3.6112860688373733E-4,82.38893498413695,0.9087891409045679
1040.0,1040.0,train,2.760891752052196E-4,64.90091267097257,0.83969861183734
1041.0,1041.0,train,5.943470760038338E-6,1.5086434834530036,0.038643649372414046
1042.0,1042.0,train,4.144950789712406E-4,95.34944496465212,0.9359726641663012
1043.0,1043.0,train,3.88254150408195E-4,88.99398274760038,0.9238039844156114
1044.0,1044.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
