x,y,species cloglog values
645.0,645.0,0.03940421
646.0,646.0,0.026325556
647.0,647.0,0.88403517
648.0,648.0,0.6496857
649.0,649.0,6.4901623E-4
650.0,650.0,0.0075857816
651.0,651.0,0.04529675
652.0,652.0,0.07741664
653.0,653.0,0.015636653
654.0,654.0,0.0060674716
655.0,655.0,0.21886332
656.0,656.0,0.09357173
657.0,657.0,0.261583
658.0,658.0,0.58697057
659.0,659.0,0.5298799
660.0,660.0,0.013216599
661.0,661.0,0.013968663
662.0,662.0,0.025437644
663.0,663.0,0.16275808
664.0,664.0,0.11825114
665.0,665.0,1.6048363E-4
666.0,666.0,5.202498E-4
667.0,667.0,8.460955E-6
668.0,668.0,0.22037719
669.0,669.0,0.9386015
670.0,670.0,0.18475334
671.0,671.0,0.06948931
672.0,672.0,7.495187E-4
673.0,673.0,0.024623426
674.0,674.0,3.231227E-4
675.0,675.0,4.228145E-4
676.0,676.0,5.6185987E-4
677.0,677.0,2.3929952E-4
678.0,678.0,2.1871991E-4
679.0,679.0,0.6115033
680.0,680.0,0.038552854
681.0,681.0,3.1524116E-5
682.0,682.0,0.053295676
683.0,683.0,0.14486404
684.0,684.0,3.347507E-5
685.0,685.0,3.351493E-4
686.0,686.0,0.20641112
687.0,687.0,0.04951707
688.0,688.0,0.029426318
689.0,689.0,9.03885E-4
690.0,690.0,8.767754E-5
691.0,691.0,0.48166814
692.0,692.0,0.034023333
693.0,693.0,0.045890532
694.0,694.0,0.038863845
695.0,695.0,0.06937246
696.0,696.0,0.30889025
697.0,697.0,0.36915657
698.0,698.0,7.227307E-5
699.0,699.0,0.022071004
700.0,700.0,0.017826872
701.0,701.0,0.082962394
702.0,702.0,0.12970202
703.0,703.0,8.2797214E-4
704.0,704.0,0.21785666
705.0,705.0,0.0015229429
706.0,706.0,0.16297859
707.0,707.0,0.025550075
708.0,708.0,0.14764805
709.0,709.0,0.0056889146
710.0,710.0,0.01121363
711.0,711.0,0.0397574
712.0,712.0,0.6847575
713.0,713.0,0.47411102
