x,y,species cloglog values
637.0,637.0,0.03605134
638.0,638.0,0.5678076
639.0,639.0,0.006956485
640.0,640.0,0.0040753735
641.0,641.0,0.003286154
642.0,642.0,1.079018E-8
643.0,643.0,0.07108907
644.0,644.0,2.8073202E-5
645.0,645.0,0.0032604132
646.0,646.0,0.07236323
647.0,647.0,0.07384139
648.0,648.0,3.7908563E-4
649.0,649.0,0.014964076
650.0,650.0,0.0072460272
651.0,651.0,0.54754823
652.0,652.0,5.338273E-10
653.0,653.0,6.7095534E-4
654.0,654.0,0.003997688
655.0,655.0,0.0030785128
656.0,656.0,1.2846067E-6
657.0,657.0,9.062248E-7
658.0,658.0,0.21564306
659.0,659.0,0.0034996576
660.0,660.0,0.021994898
661.0,661.0,2.2069664E-5
662.0,662.0,7.924199E-4
663.0,663.0,9.2768437E-7
664.0,664.0,0.077443115
665.0,665.0,0.021198882
666.0,666.0,5.212604E-6
667.0,667.0,0.7002271
668.0,668.0,0.0051294537
669.0,669.0,5.3583074E-4
670.0,670.0,0.19111496
671.0,671.0,0.09717839
672.0,672.0,0.99690795
673.0,673.0,5.1159796E-4
674.0,674.0,0.074364275
675.0,675.0,5.6855567E-4
676.0,676.0,0.068430305
677.0,677.0,0.02477113
678.0,678.0,0.015485826
679.0,679.0,0.2550938
680.0,680.0,0.0024371245
681.0,681.0,0.47709352
682.0,682.0,0.106520094
683.0,683.0,0.06287878
684.0,684.0,0.54231006
685.0,685.0,0.08454827
686.0,686.0,1.5871297E-5
687.0,687.0,0.7801916
688.0,688.0,4.8303464E-6
689.0,689.0,1.3075528E-6
690.0,690.0,0.23568201
691.0,691.0,0.012365975
692.0,692.0,0.4904613
693.0,693.0,0.21900193
694.0,694.0,2.1596727E-4
695.0,695.0,0.04629551
696.0,696.0,0.016838297
697.0,697.0,4.0366467E-6
698.0,698.0,0.020478558
699.0,699.0,0.56976736
700.0,700.0,0.13322957
701.0,701.0,1.1351054E-5
702.0,702.0,0.2758485
703.0,703.0,0.0080182105
704.0,704.0,0.0068923533
705.0,705.0,0.1927856
706.0,706.0,0.0055931616
707.0,707.0,0.16468024
708.0,708.0,0.2894077
709.0,709.0,0.46424982
710.0,710.0,0.017094921
711.0,711.0,0.005890043
712.0,712.0,0.1402696
713.0,713.0,0.037664194
714.0,714.0,0.11190992
